id,student_id,correct,created_at,updated_at,old_word_id,old_word_test_id
188,1,true,2020-10-22 22:02:12 +0900,2020-10-22 22:02:12 +0900,198,53
189,1,true,2020-10-22 22:02:18 +0900,2020-10-22 22:02:18 +0900,213,53
190,2,true,2020-10-22 22:02:20 +0900,2020-10-22 22:02:20 +0900,87,55
191,1,true,2020-10-22 22:02:23 +0900,2020-10-22 22:02:23 +0900,96,53
192,2,true,2020-10-22 22:02:24 +0900,2020-10-22 22:02:24 +0900,52,55
193,1,true,2020-10-22 22:02:28 +0900,2020-10-22 22:02:28 +0900,305,53
194,2,false,2020-10-22 22:02:30 +0900,2020-10-22 22:02:30 +0900,82,55
195,1,true,2020-10-22 22:02:34 +0900,2020-10-22 22:02:34 +0900,218,53
196,2,true,2020-10-22 22:02:35 +0900,2020-10-22 22:02:35 +0900,151,55
197,1,true,2020-10-22 22:02:38 +0900,2020-10-22 22:02:38 +0900,262,53
198,2,true,2020-10-22 22:02:39 +0900,2020-10-22 22:02:39 +0900,59,55
199,2,true,2020-10-22 22:02:44 +0900,2020-10-22 22:02:44 +0900,424,55
200,1,true,2020-10-22 22:02:45 +0900,2020-10-22 22:02:45 +0900,105,53
201,2,true,2020-10-22 22:02:48 +0900,2020-10-22 22:02:48 +0900,110,55
202,1,false,2020-10-22 22:02:51 +0900,2020-10-22 22:02:51 +0900,270,53
203,2,true,2020-10-22 22:02:52 +0900,2020-10-22 22:02:52 +0900,439,55
204,2,true,2020-10-22 22:02:57 +0900,2020-10-22 22:02:57 +0900,307,55
205,2,true,2020-10-22 22:03:01 +0900,2020-10-22 22:03:01 +0900,446,55
206,2,true,2020-10-22 22:03:18 +0900,2020-10-22 22:03:18 +0900,348,56
207,2,true,2020-10-22 22:03:22 +0900,2020-10-22 22:03:22 +0900,33,56
208,2,false,2020-10-22 22:03:27 +0900,2020-10-22 22:03:27 +0900,133,56
209,2,true,2020-10-22 22:03:33 +0900,2020-10-22 22:03:33 +0900,389,56
210,2,true,2020-10-22 22:03:38 +0900,2020-10-22 22:03:38 +0900,437,56
211,2,true,2020-10-22 22:03:42 +0900,2020-10-22 22:03:42 +0900,104,56
212,2,true,2020-10-22 22:03:47 +0900,2020-10-22 22:03:47 +0900,280,56
213,2,true,2020-10-22 22:03:52 +0900,2020-10-22 22:03:52 +0900,171,56
214,2,false,2020-10-22 22:03:57 +0900,2020-10-22 22:03:57 +0900,47,56
215,2,false,2020-10-22 22:04:02 +0900,2020-10-22 22:04:02 +0900,223,56
216,10,true,2020-10-23 22:51:58 +0900,2020-10-23 22:51:58 +0900,68,57
217,10,true,2020-10-23 22:52:02 +0900,2020-10-23 22:52:02 +0900,402,57
218,10,true,2020-10-23 22:52:07 +0900,2020-10-23 22:52:07 +0900,282,57
219,10,true,2020-10-23 22:52:13 +0900,2020-10-23 22:52:13 +0900,216,57
220,10,true,2020-10-23 22:52:18 +0900,2020-10-23 22:52:18 +0900,13,57
221,10,true,2020-10-23 22:52:22 +0900,2020-10-23 22:52:22 +0900,35,57
222,10,true,2020-10-23 22:52:28 +0900,2020-10-23 22:52:28 +0900,452,57
223,10,true,2020-10-23 22:52:34 +0900,2020-10-23 22:52:34 +0900,265,57
224,10,true,2020-10-23 22:52:37 +0900,2020-10-23 22:52:37 +0900,410,57
225,10,true,2020-10-23 22:52:41 +0900,2020-10-23 22:52:41 +0900,78,57
226,10,true,2020-10-23 22:52:46 +0900,2020-10-23 22:52:46 +0900,203,57
227,10,true,2020-10-23 22:52:50 +0900,2020-10-23 22:52:50 +0900,133,57
228,10,true,2020-10-23 22:52:56 +0900,2020-10-23 22:52:56 +0900,188,57
229,10,true,2020-10-23 22:53:01 +0900,2020-10-23 22:53:01 +0900,298,57
230,10,true,2020-10-23 22:53:05 +0900,2020-10-23 22:53:05 +0900,22,57
231,10,true,2020-10-23 22:53:09 +0900,2020-10-23 22:53:09 +0900,424,57
232,10,false,2020-10-23 22:53:15 +0900,2020-10-23 22:53:15 +0900,84,57
233,10,false,2020-10-23 22:53:22 +0900,2020-10-23 22:53:22 +0900,118,57
234,10,true,2020-10-23 22:53:26 +0900,2020-10-23 22:53:26 +0900,148,57
235,10,true,2020-10-23 22:53:30 +0900,2020-10-23 22:53:30 +0900,198,57
236,10,true,2020-10-23 22:53:34 +0900,2020-10-23 22:53:34 +0900,202,57
237,10,true,2020-10-23 22:53:38 +0900,2020-10-23 22:53:38 +0900,176,57
238,10,false,2020-10-23 22:53:45 +0900,2020-10-23 22:53:45 +0900,77,57
239,10,true,2020-10-23 22:53:50 +0900,2020-10-23 22:53:50 +0900,260,57
240,10,true,2020-10-23 22:53:54 +0900,2020-10-23 22:53:54 +0900,294,57
241,10,true,2020-10-23 22:53:59 +0900,2020-10-23 22:53:59 +0900,273,57
242,10,false,2020-10-23 22:54:06 +0900,2020-10-23 22:54:06 +0900,92,57
243,10,false,2020-10-23 22:54:12 +0900,2020-10-23 22:54:12 +0900,138,57
244,10,true,2020-10-23 22:54:17 +0900,2020-10-23 22:54:17 +0900,12,57
245,10,true,2020-10-23 22:54:22 +0900,2020-10-23 22:54:22 +0900,153,57
246,10,true,2020-10-23 22:54:27 +0900,2020-10-23 22:54:27 +0900,48,57
247,10,true,2020-10-23 22:54:33 +0900,2020-10-23 22:54:33 +0900,193,57
248,10,true,2020-10-23 22:54:37 +0900,2020-10-23 22:54:37 +0900,368,57
249,10,true,2020-10-23 22:54:40 +0900,2020-10-23 22:54:40 +0900,383,57
250,10,true,2020-10-23 22:54:44 +0900,2020-10-23 22:54:44 +0900,177,57
251,10,true,2020-10-23 22:54:48 +0900,2020-10-23 22:54:48 +0900,26,57
252,10,true,2020-10-23 22:54:53 +0900,2020-10-23 22:54:53 +0900,182,57
253,10,true,2020-10-23 22:54:58 +0900,2020-10-23 22:54:58 +0900,384,57
254,10,false,2020-10-23 22:55:05 +0900,2020-10-23 22:55:05 +0900,336,57
255,10,true,2020-10-23 22:55:11 +0900,2020-10-23 22:55:11 +0900,253,57
256,10,true,2020-10-23 22:55:18 +0900,2020-10-23 22:55:18 +0900,245,57
257,10,true,2020-10-23 22:55:24 +0900,2020-10-23 22:55:24 +0900,225,57
258,10,true,2020-10-23 22:55:28 +0900,2020-10-23 22:55:28 +0900,289,57
259,10,true,2020-10-23 22:55:32 +0900,2020-10-23 22:55:32 +0900,161,57
260,10,true,2020-10-23 22:55:37 +0900,2020-10-23 22:55:37 +0900,129,57
261,10,true,2020-10-23 22:55:44 +0900,2020-10-23 22:55:44 +0900,67,57
262,10,true,2020-10-23 22:55:49 +0900,2020-10-23 22:55:49 +0900,103,57
263,10,true,2020-10-23 22:55:54 +0900,2020-10-23 22:55:54 +0900,288,57
264,10,true,2020-10-23 22:55:59 +0900,2020-10-23 22:55:59 +0900,428,57
265,10,true,2020-10-23 22:56:03 +0900,2020-10-23 22:56:03 +0900,120,57
266,12,false,2020-10-24 16:53:03 +0900,2020-10-24 16:53:03 +0900,299,58
267,12,true,2020-10-24 16:53:08 +0900,2020-10-24 16:53:08 +0900,207,58
268,12,true,2020-10-24 16:53:11 +0900,2020-10-24 16:53:11 +0900,94,58
269,12,true,2020-10-24 16:53:16 +0900,2020-10-24 16:53:16 +0900,139,58
270,12,false,2020-10-24 16:53:21 +0900,2020-10-24 16:53:21 +0900,269,58
271,12,true,2020-10-24 16:53:25 +0900,2020-10-24 16:53:25 +0900,60,58
272,12,true,2020-10-24 16:53:30 +0900,2020-10-24 16:53:30 +0900,420,58
273,12,false,2020-10-24 16:53:36 +0900,2020-10-24 16:53:36 +0900,84,58
274,12,true,2020-10-24 16:53:42 +0900,2020-10-24 16:53:42 +0900,136,58
275,12,true,2020-10-24 16:53:46 +0900,2020-10-24 16:53:46 +0900,41,58
276,12,false,2020-10-24 16:53:50 +0900,2020-10-24 16:53:50 +0900,310,58
277,12,true,2020-10-24 16:53:54 +0900,2020-10-24 16:53:54 +0900,3,58
278,12,true,2020-10-24 16:53:57 +0900,2020-10-24 16:53:57 +0900,6,58
279,12,true,2020-10-24 16:54:01 +0900,2020-10-24 16:54:01 +0900,106,58
